"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"20301";"Comissão Nacional de Energia Nuclear";"113203";"COMISSAO NACIONAL DE ENERGIA NUCLEAR-IEN";"000012021";"1132030600002202300001";"SERVIÇO DE VISTORIA , VALIDAÇÃO , CERTIFICAÇÃO";"PRESTAÇÃO DE SUPORTE TÉCNICO (ZIMBRA COLLABORATION SUITE STANDARD EDITION)EXERCÍCIO DE 2023.";"1";"8044,26"
"26290";"Instituto Nacional de Estudos e Pesquisas Edu";"153978";"INST.NACIONAL DE EST.E PESQUISAS EDUCACIONAIS";"000012021";"1539780500021202000001";"EQUIPAMENTO SEGURANÇA REDE";"undefined";"2";"2100000,00"
"26290";"Instituto Nacional de Estudos e Pesquisas Edu";"153978";"INST.NACIONAL DE EST.E PESQUISAS EDUCACIONAIS";"000012021";"1539780500021202000003";"SERVIÇOS DE GERENCIAMENTO DE SISTEMAS COMPUTACIONAIS";"undefined";"1000";"530,00"
"26290";"Instituto Nacional de Estudos e Pesquisas Edu";"153978";"INST.NACIONAL DE EST.E PESQUISAS EDUCACIONAIS";"000012021";"1539780500021202000002";"EQUIPAMENTO SEGURANÇA REDE";"undefined";"1";"400827,75"
"26245";"Universidade Federal do Rio de Janeiro";"153155";"MATERNIDADE ESCOLA DA UFRJ";"000012022";"1531550500021202100001";"ESTERILIZAÇÃO";"ESTERILIZAÇÃO";"12";"110051,67"
"52121";"Comando do Exército";"160058";"32 GRUPO DE ARTILHARIA DE CAMPANHA";"000012022";"1600580200001202100001";"INSTALAÇÃO E MONTAGEM DE ENERGIA ELÉTRICA ATÉ 60KV";"INSTALAÇÃO E MONTAGEM DE ENERGIA ELÉTRICA ATÉ 60KV";"1";"113572,65"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200012";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECES SIDADES - OUTRA PRODUTIVIDADE - PISOS FRIOS.";"6076";"41,75"
"26415";"Instituto Federal do Mato Grosso do Sul";"158450";"INST. FED. DO MS/CAMPUS CORUMBA";"000012023";"1584500500204202200001";"CONTAINER";"CONTAINER";"2";"205000,00"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200022";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - FACHADAS  ENVIDRAÇADAS - FREQÜÊNCIA 8H/SEMESTRE - OUTRA PRODUTIV";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - FACHADAS  ENVIDRAÇADAS - FRE QÜÊNCIA 8H/SEMESTRE - OUTRA PRODUTIVIDADE - FACE EXTERNA COM EXPOSIÇÃO A SITUA ÇÃO DE RISCO.";"620";"13,42"
"52131";"Comando da Marinha";"787200";"GRUPAMENTO DE FUZILEIROS NAVAIS_DE BRASILIA";"000012023";"7872000500001202300001";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 SEMPAPEL";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 SEMPAPEL";"18000";"0,10"
