"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"500022024";"20101";"Sem informação";"25201";"BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL";"925138";"BANCO CENTRAL DO BRASIL - SÃO PAULO";"500022024";"02/10/2024";"Objetivo: ACRÉSCIMO DE 2 POSTOS DE ASSISTENTE ADMINISTRATIVO PLENO E DE 4 POSTOS DE AUXILIAR ADMINISTRATIVO, A PARTIR DE 1º DE OUTUBRO DE 2024."
"000042024";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"000012024";"11/03/2024";"Objetivo: ACRÉSCIMO DE SERVIÇOS"
"000062024";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"000012024";"25/11/2024";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA E O ACRÉSCIMO DE SERVIÇOS"
"000082024";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"000012024";"02/10/2024";"Objetivo: ACRÉSCIMO DE MATERIAIS"
"000102024";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"000012024";"27/06/2024";"Objetivo: ACRÉSCIMO DE SERVIÇOS"
"000102024";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"000022024";"26/11/2024";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"000282023";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"110096";"SUPERINTENDENCIA REG. DE ADMIN. DA 5ª REGIAO";"000012023";"04/01/2024";"Objetivo: PRORROGAR POR 12 (DOZE) MESES O PRAZO DE VIGÊNCIA"
"000342023";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"110096";"SUPERINTENDENCIA REG. DE ADMIN. DA 5ª REGIAO";"000012024";"12/09/2024";"Objetivo: PRORROGAR POR 90 DIAS CONSECUTIVOS O PRAZO DA VIGÊNCIA CONTRATUAL; SUPRIMIR O VALOR DE R$ 9.840,79, REPRESENTANDO UM PERCENTUAL DE 0,25% SOBRE O VALOR ORIGINAL DO CONTRATO; ACRESCER O VALOR DE R$ 256.582,02, CORRESPONDENTE AO PERCENTUAL DE 6,42% DO VALOR ORIGINAL DO CONTRATO"
"000342023";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"110096";"SUPERINTENDENCIA REG. DE ADMIN. DA 5ª REGIAO";"000022024";"07/11/2024";"Objetivo: SUPRIMIR O VALOR DO CONTRATO EM 9,59%; ACRESCER O VALOR DO CONTRATO EM 6,03%"
"000382023";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"000232024";"02/08/2024";"Objetivo: PRORROGAR A VIGÊNCIA CONTRATUAL POR UM PERÍODO DE 12 (DOZE) MESES, CONTADOS DE 02/08/2024 ATÉ 01/08/2025"
"000012024";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo";"110511";"CENTRO GESTOR OP. SISTEMA PROTECAO AMAZONIA";"000012024";"05/11/2024";"Objetivo: O OBJETO DO PRESENTE INSTRUMENTO É: PRORROGAR O PRAZO DE VIGÊNCIA DO CONTRATO Nº 01/2024, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 09/01/2025 A 08/01/2026, NOS TERMOS DO ART. 57, II DA LEI Nº 8.666, DE 1993. ALTERAR O ENDEREÇO DA CONTRATADA PARA RUA JOSE PEREIRA GURGEL, N° 371, BAIRRO CENTRO, CEP: 69.926-000, BUJARI - ACRE, CONFORME QUARTA ALTERAÇÃO CONTRATUAL."
"000022024";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo";"110511";"CENTRO GESTOR OP. SISTEMA PROTECAO AMAZONIA";"000012024";"18/11/2024";"Objetivo: O OBJETO DO PRESENTE INSTRUMENTO É: PRORROGAR O PRAZO DE VIGÊNCIA DO CONTRATO Nº 02/2024, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 09/01/2025 A 08/01/2026, NOS TERMOS DO ART. 57, II DA LEI Nº 8.666, DE 1993. RETIRAR OS CUSTOS NÃO RENOVÁVEIS PAGOS OU AMORTIZADOS NO PRIMEIRO ANO DA CONTRATAÇÃO."
"000282023";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"110792";"DIRETORIA DE LOGISTICA E GESTAO DOCUMENTAL";"000012024";"13/11/2024";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 028/2023 POR 24 (VINTE E QUATRO) MESES, A PARTIR DE 30/12/2024 ATÉ 29/12/2026, PODENDO SER PRORROGADO SUCESSIVAMENTE, NA FORMA DO ARTIGO 114 DA LEI Nº 14.133, DE 2021 E REAJUSTAR OS VALORES CONTRATUAIS EM 5,54% (CINCO VÍRGULA CINQUENTA E QUATRO POR CENTO), EM RAZÃO APLICAÇÃO DO ÍNDICE DE CUSTO DA TECNOLOGIA DA INFORMAÇÃO (ICTI) DO PERÍODO DE DEZEMBRO/2023 A AGOSTO/2024, CONFORME PREVISTO NA CLÁUSULA SÉTIMA DO CONTRATO, A PARTIR DE 30/12/20"
"000422023";"68000";"Ministério de Portos e Aeroportos";"62201";"Agência Nacional de Aviação Civil";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL";"000012024";"12/08/2024";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 42/ANAC/2023, POR 12 (DOZE) MESES ADICIONAIS."
"000442023";"68000";"Ministério de Portos e Aeroportos";"62201";"Agência Nacional de Aviação Civil";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL";"000012024";"01/07/2024";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 44/2023 POR MAIS 12 (DOZE) MESES, A PARTIR DE 27/12/2024 ATÉ 27/12/2025."
"000442023";"68000";"Ministério de Portos e Aeroportos";"62201";"Agência Nacional de Aviação Civil";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL";"000022024";"14/10/2024";"Objetivo: ALTERAÇÃO QUANTITATIVA DO ITEM 4 DO OBJETO CONTRATADO E CONSEQUENTE MODIFICAÇÃO DO VALOR MENSAL DA CONTRATAÇÃO, REPRESENTANDO UM ACRÉSCIMO NO VALOR TOTAL ATUALIZADO DA ORDEM DE 3,23%."
"000492023";"68000";"Ministério de Portos e Aeroportos";"62201";"Agência Nacional de Aviação Civil";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL";"000012024";"15/08/2024";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO POR 12 (DOZE) MESES ADICIONAIS."
"000062023";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"114607";"SUPERINTENDENCIA ESTADUAL DO IBGE NO AMAPA";"000012024";"11/11/2024";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR OBJETO O ACRÉSCIMO DE VALOR EM 25% (VINTE E CINCO POR CENTO) COM BASE NO VALOR DO INICIALMENTE CONTRATADO, DE ACORDO COM O PREVISTO NA CLÁUSULA DÉCIMA TERCEIRA, INCISO 13.2 DO CONTRATO N° 006/2023."
"000022024";"46000";"Ministério da Gestão e da Inovação em Ser";"20202";"Fundação Escola Nacional de Administração";"114702";"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"000012024";"";"Objetivo: ACRÉSCIMO DE R$ 8.477,04 (OITO MIL QUATROCENTOS E SETENTA E SETE REAIS E QUATRO CENTAVOS) NO VALOR DO CONTRATO, CONSISTENTE NA ALTERAÇÃO DO CRONOGRAMA DAS ATIVIDADES, COM O CONSEQUENTE ACRÉSCIMO DE 36 (TRINTA E SEIS) HORAS, O QUE EQUIVALE A 11,05 % DO VALOR INICIAL ATUALIZADO DO CONTRATO Nº 02/2024 , COM FUNDAMENTO NO ART. 125, DA LEI 14.133/21."
"000032024";"46000";"Ministério da Gestão e da Inovação em Ser";"20202";"Fundação Escola Nacional de Administração";"114702";"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"000012024";"";"Objetivo: ACRÉSCIMO DE R$ 9.265,20 NO VALOR DO CONTRATO, CONSISTENTE NA ALTERAÇÃO DO CRONOGRAMA DAS ATIVIDADES, COM O CONSEQUENTE ACRÉSCIMO DE 40 (QUARENTA) HORAS, O QUE EQUIVALE A 14,49 % DO VALOR INICIAL ATUALIZADO DO CONTRATO Nº 03/2024 , COM FUNDAMENTO NO ART. 125, DA LEI 14.133/21."
